RegionName,StateName,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020
"Springfield, MA",MA,259900,259900,259900,259000,264900,278000,285000,289000,289900,284900,275000,269000,265000,260000,254000,252497,255000,269900,285000,299000,299900,295000,297500,294000,289000,275000,275000,275400,289000,308000,319900,330000,349000
"Fort Myers, FL",FL,298000,299500,299900,299900,299990,299995,300000,299900,299900,299000,299000,299000,299000,299000,295000,295000,299000,299000,299000,299000,299000,298000,295000,293900,299000,299900,305000,309900,319000,319999,310000,319109,327000
"Boise City, ID",ID,310000,309900,329000,340000,359900,345000,359800,366179,360000,354900,349900,349900,345000,339999,339900,342765,350990,367480,384900,390000,389900,385000,379900,375000,367500,369370,369950,379000,389900,397990,395000,399990,415143
"Toledo, OH",OH,134900,129900,125900,125000,125900,139000,145000,149900,149900,149900,144900,143900,143500,139900,139900,139900,142400,163500,177500,185500,189000,179900,173900,165000,164900,159900,159900,159900,159900,164900,175000,199000,199900
"Madison, WI",WI,290000,289900,289000,299000,309900,315000,319900,315000,319900,319900,307000,300900,299900,299900,300000,309900,327900,336000,334900,335000,335000,329900,329000,324900,324900,324900,324900,329000,340000,349900,349900,353900,358000
"Lakeland, FL",FL,219950,223000,222900,219950,225000,228900,230000,230000,230000,230680,229900,226585,224900,224000,224900,224900,224999,225000,229000,232995,231850,233000,231994,230000,229990,229400,229900,229999,234900,235000,232100,232800,235000
"Ogden, UT",UT,325000,325000,325000,334900,349900,365000,369480,369900,373900,369900,360000,359900,352900,355000,362900,374900,379000,389900,395000,389500,382100,379000,375000,362500,349900,354400,359990,376860,386800,385000,379900,399900,418000
"Daytona Beach, FL",FL,269500,269000,269500,269000,269900,273990,276233,285000,288000,285000,283415,279500,275900,274500,274000,274500,275000,279900,287000,289463,288900,284900,279900,277500,276999,277000,279000,279000,285000,286410,279900,280000,284900
"Des Moines, IA",IA,279900,279900,280000,285000,293500,299000,299900,299900,299900,299900,292900,289900,289900,288000,284900,285000,289684,293000,295000,293500,293000,287900,279900,275000,265000,261500,260000,265900,273650,275900,277055,282400,287900
"Jackson, MS",MS,249250,245000,249000,243900,243900,249900,254000,254900,260000,254000,249900,245900,239900,239900,239900,239900,245000,249500,258900,259575,262500,259000,258000,255000,255500,254900,264600,263000,263900,266900,269900,280000,294900
"Augusta, GA",GA,219500,219900,219000,221000,225000,229900,233400,235000,234900,229500,225000,224900,224900,220000,221900,220800,220000,229900,239000,239000,234900,237900,235900,235990,234730,230000,229935,230189,234900,239000,244900,249900,251730
"Harrisburg, PA",PA,184900,185900,185000,189900,199900,214400,219000,224900,219900,219000,219800,219900,214900,204900,206000,209900,210000,219900,220000,225000,234900,239900,238900,234900,232626,234900,235000,238926,244500,249500,249000,252400,262000
"Provo, UT",UT,369900,370000,369000,375000,393900,399950,389300,380000,379899,377900,379900,370000,369900,365000,365000,369000,376900,386987,385000,384750,385900,389900,390000,389000,384900,384900,389900,389900,401703,415000,405898,415900,430240
"Durham, NC",NC,399900,399999,396175,398310,415000,423500,425000,425000,415000,409695,400000,399900,399900,396000,396000,399000,415500,429900,430000,434830,428358,420000,410000,400000,389990,391744,399500,409990,429000,442900,425900,433900,448888
"Port St. Lucie, FL",FL,279900,280000,279900,280000,283000,279900,280000,285000,282999,285000,289900,289900,289900,289900,289900,289900,289900,289500,289000,289700,289900,290000,289900,290000,289900,289900,292664,289900,291150,294900,294000,290000,295000
"Vallejo, CA",CA,466495,469000,499000,500000,484888,499000,495000,519900,499000,495000,470000,469950,459000,459000,455000,460000,469900,479000,489000,499000,518000,510000,515000,499950,494296,486000,484999,470000,485000,495000,509900,499900,512500
"Killeen, TX",TX,178000,179000,181800,188100,189900,191140,200239,206000,213000,217000,212000,209900,199900,209000,214900,216640,220000,229900,229900,234900,229900,225000,227460,227460,228712,225000,224900,228970,230000,229205,232590,241500,251900
"Salem, OR",OR,325000,334000,339900,344900,350000,350000,354900,359000,364900,365000,359900,354900,350000,349900,349900,350000,349900,349900,349900,349900,355000,363900,360000,362000,368500,367500,369800,377995,375000,379900,379000,384900,385000
"Ocala, FL",FL,199900,199900,206850,204900,210000,215900,219000,219900,219900,218900,213757,210000,209900,210000,210190,209900,204900,204900,205000,209900,209500,209900,215000,214990,212500,213000,210350,209900,209500,209900,209900,213600,219900
"Fort Collins, CO",CO,429900,434900,439900,449000,442301,449815,453990,454000,460000,449900,445000,440000,439990,435000,435000,435000,439000,445000,442960,449900,449900,439950,435000,435000,435000,438995,438658,449915,460000,469000,464900,465000,477435
"Boulder, CO",CO,640000,660000,685000,675000,698550,710000,699000,700000,679999,669000,649900,646000,630000,639000,660000,639900,640000,649900,650000,669000,689000,675000,654000,674700,679000,679450,681000,675000,749000,779000,750000,769000,780000
"Clarksville, TN",TN,199950,203490,207900,214500,218950,218950,219900,222500,219900,218950,220000,223900,223000,228000,229900,230900,239000,242900,248900,249900,245000,239900,240000,239900,239500,235000,234900,230000,232500,238500,242900,245900,249000
"Greeley, CO",CO,385000,380000,380800,375750,371800,376622,379000,380000,382388,380000,380000,380000,383560,385395,389900,380000,376190,384000,380600,400000,412750,399000,392445,390705,398000,405000,410000,420000,434990,450000,435000,430000,433800
